DEBUG    : 09-15 17:35:16 : [7696] [test_conf.py:31:<module>] this is debug
NOTICE   : 09-15 17:35:16 : [7696] [test_conf.py:32:<module>] this is notice
TRACE    : 09-15 17:35:16 : [7696] [test_conf.py:33:<module>] this is trace
WARNING  : 09-15 17:35:16 : [7696] [test_conf.py:34:<module>] this is warning
WARNING  : 09-15 17:35:16 : [7696] [test_conf.py:35:<module>] this is fatal
WARNING  : 09-15 17:47:18 : [5724] [__init__.py:52:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 17:48:11 : [7648] [__init__.py:52:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 17:50:34 : [6664] [__init__.py:50:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 17:51:45 : [8304] [__init__.py:50:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 17:52:26 : [7020] [__init__.py:50:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 17:52:47 : [7292] [__init__.py:50:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 18:00:11 : [7924] [__init__.py:50:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 18:14:08 : [6648] [__init__.py:50:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 18:14:21 : [7028] [__init__.py:50:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 18:15:07 : [4536] [__init__.py:50:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 18:16:46 : [4088] [__init__.py:55:_setup] Requested settings, but settings are not configured. use default settings
WARNING  : 09-15 18:23:23 : [9692] [__init__.py:46:_setup] Requested settings, but settings are not configured. use default settings
